Title,Address,Body,Date
"
                        项目管理工程师 ,
                    ","
                            深圳
                            
                        ","1.负责项目整体进度编制和项目掌控；,2.负责主导产品研发、试产过程及量产维护；,3.负责处理项目过程的各种问题，确保项目顺利按时进行；,4.负责协调项目组成员配合及资源调配；",2017-03-27
"
                        应届生专业经验不限/软件测试 ,
                    ","
                            南京
                            
                        ","任职资格:,1、大专及以上学历，理工科相关专业优先； ,2、良好的综合素质，严谨的逻辑思维能力，有志于从事专业的软件相关工作；,3、有无软件相关工作经验者均可，欢迎优秀的应届大学毕业生；,4、有出国出差机会,5.18-30岁超龄勿扰。男女不限。,公司福利：,1、签订正式劳动合同，从试用期开始缴纳五险一金；,2、日常补贴（话费、工作餐、交通费补贴）;,3、薪资保障:享受优质的奖励机制，高底薪+绩效；,4、 晋升管道畅通，一年有四次加薪晋升机会；,5、 正式员工享受十三薪及年终奖；,6、 朝九晚六，周末双休;,7、 每季度员工旅游+员工生日会+节日礼物；,8、 每年享受国家规定的带薪年假、法定节假日等福利；,9、 丰富的企业文化活动，打造快乐活力的工作氛围 ；,10、 提供员工宿舍；,11、 年度体检；工作时间: 早9:00至晚17:30，周末双休。公司不提倡加班",2017-03-23
"
                        就业有位来-软件实施工程师 ,
                    ","
                            成都
                            
                        ","岗位职责：,1、编写项目实施计划书；,2、负责公司自主研发的医疗软件产品在各个医院的实施、技术支持、客户服务、应用培训等； ,3、 负责与客户的沟通协调,任职要求：,1、计算机相关专业本科以上学历,2、熟悉服务器、数据库、网络等基础知识；,3、掌握一门以上数据库管理软件，熟悉sql数据库优先考滤,4、能接受长期省内范围的出差；",2017-03-23
"
                        无经验淘宝美工 ,
                    ","
                            成都
                            
                        ","岗位职责：,1、产品包装设计,2、新产品LOGO设计,3、公司宣传册、海报设计,4、愿意跟着公司前辈学习，脚踏实地，有团队合作精神,注：可接收应届生，专业不限 。,岗位要求:,1、 试用期一个月【培训项目：了解企业文化，掌握产品,一个月后转正。】,2、 学习使用Photoshop、Flash、CAD 等相关平面设计软件,3、无经者愿意从基层做起，公司带薪培训。,4、工作认真，有责任心，踏实肯干，富有团队精神；,5、具备良好的美术基础，良好的创意构思能力。,福利待遇：,根据公司发展需求针对零基础提供助理岗位//做项目有工程师带// 态度一定要端正；,实习助理薪资：会根据你的考勤/态度/综合素质/以及做项目积极性/配合公司安排/,综合收入加提成3000以上(转正4000)// 具体面议；（薪资均以能力来定）,3、福利待遇：早九晚六// 中午休息两个小时// 周末双休// 国家规定节假日休息//,公司全体有热水咖啡提供// 员工生日有礼物；,本岗位欢迎理科相关应届毕业生 投递简历到邮箱优先考虑录用 ",2017-03-23
"
                        软件测试工程师 ,
                    ","
                            南京
                            
                        ","任职资格:,1、大专及以上学历，理工科相关专业优先； ,2、良好的综合素质，严谨的逻辑思维能力，有志于从事专业的web软件测试相关工作；,3、有无软件相关工作经验者均可，欢迎优秀的应届大学毕业生；,4、有出国出差机会,5.18-30岁超龄勿扰。男女不限。,公司福利：,1、签订正式劳动合同，从试用期开始缴纳五险一金；,2、日常补贴（话费、工作餐、交通费补贴）;,3、薪资保障:享受优质的奖励机制，高底薪+绩效；,4、 晋升管道畅通，一年有四次加薪晋升机会；,5、 正式员工享受十三薪及年终奖；,6、 朝九晚六，周末双休;,7、 每季度员工旅游+员工生日会+节日礼物；,8、 每年享受国家规定的带薪年假、法定节假日等福利；,9、 丰富的企业文化活动，打造快乐活力的工作氛围 ；,10、 提供员工宿舍；,11、 年度体检；工作时间: 早9:00至晚17:30，周末双休。公司不提倡加班",2017-03-23
"
                        软件网优测试专员 ,
                    ","
                            南京
                            
                        ","任职资格:,1、大专及以上学历，理工科相关专业优先； ,2、良好的综合素质，严谨的逻辑思维能力，有志于从事专业的软件相关工作；,3、有无软件相关工作经验者均可，欢迎优秀的应届大学毕业生；,4、有出国出差机会,5.18-30岁超龄勿扰。男女不限。,公司福利：,1、签订正式劳动合同，从试用期开始缴纳五险一金；,2、日常补贴（话费、工作餐、交通费补贴）;,3、薪资保障:享受优质的奖励机制，高底薪+绩效；,4、 晋升管道畅通，一年有四次加薪晋升机会；,5、 正式员工享受十三薪及年终奖；,6、 朝九晚六，周末双休;,7、 每季度员工旅游+员工生日会+节日礼物；,8、 每年享受国家规定的带薪年假、法定节假日等福利；,9、 丰富的企业文化活动，打造快乐活力的工作氛围 ；,10、 提供员工宿舍；,11、 年度体检；工作时间: 早9:00至晚17:30，周末双休。公司不提倡加班,HR会非常认真的查看每一份简历，请勿重复投递！",2017-03-23
"
                        手机软件开发工程师 ,
                    ","
                            南京
                            
                        ","职位要求：,1 .大专及以上，有无软件开发经验亦可； ,2 .工作责任心强，做事仔细，有耐心； ,3 .有较强的沟通意识及工作热情；,4 .能够清晰表达个人的观点，逻辑思维清楚，并有较好的团队合作精神；,5. 有志于从事软件IT行业发展；,良好的福利待遇：,1、公司提供五险一金（综合医保），五天工作制，享有国家规定的法定假期、带薪年休假等福利待遇；,2、各种奖金及奖励并享有旅游资助、培训资助等；,3、公司每月，每季度，每年及各节日里定期开展各式各样的文体活动、评优活动，倡导健康向上的企业文化；,4、提供专业培训，个人发展空间大，晋升职务多，升迁机会大。,大专及以上学历，不符者请勿投",2017-03-23
"
                        测试助理 ,
                    ","
                            深圳
                            
                        ","1、编写测试用例和测试计划，搭建测试环境；,2、执行测试、跟踪并验证issue；,3、编写测试记录及报告；,4、完成上级及部门其他领导交于的临时任务。",2017-03-27
"
                        急聘网页/平面/广告助理 ,
                    ","
                            成都
                            
                        ","岗位职责：,1、产品包装设计,2、新产品LOGO设计,3、公司宣传册、海报设计,4、愿意跟着公司前辈学习，脚踏实地，有团队合作精神,注：可接收应届生，专业不限 。,岗位要求:,1、 试用期一个月【培训项目：了解企业文化，掌握产品,一个月后转正。】,2、 学习使用Photoshop、Flash、CAD 等相关平面设计软件,3、无经者愿意从基层做起，公司带薪培训。,4、工作认真，有责任心，踏实肯干，富有团队精神；,5、具备良好的美术基础，良好的创意构思能力。,福利待遇：,根据公司发展需求针对零基础提供助理岗位//做项目有工程师带// 态度一定要端正；,实习助理薪资：会根据你的考勤/态度/综合素质/以及做项目积极性/配合公司安排/,综合收入加提成3000以上(转正4000)// 具体面议；（薪资均以能力来定）,3、福利待遇：早九晚六// 中午休息两个小时// 周末双休// 国家规定节假日休息//,公司全体有热水咖啡提供// 员工生日有礼物；,本岗位欢迎理科相关应届毕业生 投递简历到邮箱优先考虑录用 ",2017-03-23
"
                        软件开发工程师 ,
                    ","
                            南京
                            
                        ","任职资格:,1、大专及以上学历，理工科相关专业优先； ,2、良好的综合素质，严谨的逻辑思维能力，有志于从事专业的软件相关工作；,3、有无软件相关工作经验者均可，欢迎优秀的应届大学毕业生；,4、有出国出差机会,5.18-30岁超龄勿扰。男女不限。,公司福利：,1、签订正式劳动合同，从试用期开始缴纳五险一金；,2、日常补贴（话费、工作餐、交通费补贴）;,3、薪资保障:享受优质的奖励机制，高底薪+绩效；,4、 晋升管道畅通，一年有四次加薪晋升机会；,5、 正式员工享受十三薪及年终奖；,6、 朝九晚六，周末双休;,7、 每季度员工旅游+员工生日会+节日礼物；,8、 每年享受国家规定的带薪年假、法定节假日等福利；,9、 丰富的企业文化活动，打造快乐活力的工作氛围 ；,10、 提供员工宿舍；,11、 年度体检；工作时间: 早9:00至晚17:30，周末双休。公司不提倡加班",2017-03-23
"
                        零基础计算机技术开发 ,
                    ","
                            南京
                            
                        ","任职资格:,1、大专及以上学历，理工科相关专业优先； ,2、良好的综合素质，严谨的逻辑思维能力，有志于从事专业的软件相关工作；,3、有无软件相关工作经验者均可，欢迎优秀的应届大学毕业生；,4、有出国出差机会,5.18-30岁超龄勿扰。男女不限。,公司福利：,1、签订正式劳动合同，从试用期开始缴纳五险一金；,2、日常补贴（话费、工作餐、交通费补贴）;,3、薪资保障:享受优质的奖励机制，高底薪+绩效；,4、 晋升管道畅通，一年有四次加薪晋升机会；,5、 正式员工享受十三薪及年终奖；,6、 朝九晚六，周末双休;,7、 每季度员工旅游+员工生日会+节日礼物；,8、 每年享受国家规定的带薪年假、法定节假日等福利；,9、 丰富的企业文化活动，打造快乐活力的工作氛围 ；,10、 提供员工宿舍；,11、 年度体检；工作时间: 早9:00至晚17:30，周末双休。公司不提倡加班",2017-03-23
"
                        IT行业测试助理+双休 ,
                    ","
                            南京
                            
                        ","任职资格:,1、大专及以上学历，理工科相关专业优先； ,2、良好的综合素质，严谨的逻辑思维能力，有志于从事专业的软件相关工作；,3、有无软件相关工作经验者均可，欢迎优秀的应届大学毕业生；,4、有出国出差机会,5.18-30岁超龄勿扰。男女不限。,公司福利：,1、签订正式劳动合同，从试用期开始缴纳五险一金；,2、日常补贴（话费、工作餐、交通费补贴）;,3、薪资保障:享受优质的奖励机制，高底薪+绩效；,4、 晋升管道畅通，一年有四次加薪晋升机会；,5、 正式员工享受十三薪及年终奖；,6、 朝九晚六，周末双休;,7、 每季度员工旅游+员工生日会+节日礼物；,8、 每年享受国家规定的带薪年假、法定节假日等福利；,9、 丰富的企业文化活动，打造快乐活力的工作氛围 ；,10、 提供员工宿舍；,11、 年度体检；工作时间: 早9:00至晚17:30，周末双休。公司不提倡加班,HR会非常认真的查看每一份简历，请勿重复投递！",2017-03-23
"
                        诚聘爱好设计的小伙伴 ,
                    ","
                            成都
                            
                        ","岗位职责：,1、产品包装设计,2、新产品LOGO设计,3、公司宣传册、海报设计,4、愿意跟着公司前辈学习，脚踏实地，有团队合作精神,注：可接收应届生，专业不限 。,岗位要求:,1、 试用期一个月【培训项目：了解企业文化，掌握产品,一个月后转正。】,2、 学习使用Photoshop、Flash、CAD 等相关平面设计软件,3、无经者愿意从基层做起，公司带薪培训。,4、工作认真，有责任心，踏实肯干，富有团队精神；,5、具备良好的美术基础，良好的创意构思能力。,福利待遇：,根据公司发展需求针对零基础提供助理岗位//做项目有工程师带// 态度一定要端正；,实习助理薪资：会根据你的考勤/态度/综合素质/以及做项目积极性/配合公司安排/,综合收入加提成3000以上(转正4000)// 具体面议；（薪资均以能力来定）,3、福利待遇：早九晚六// 中午休息两个小时// 周末双休// 国家规定节假日休息//,公司全体有热水咖啡提供// 员工生日有礼物；,本岗位欢迎理科相关应届毕业生 投递简历到邮箱优先考虑录用 ",2017-03-23
"
                        总经理助理 ,
                    ","
                            北京
                            
                        ","1、研究生及以上学历，性格开朗，形象气质俱佳； ,3、具有独立完成工作任务的能力；,4、具有较强的商务礼仪接待意识及技巧；,5、具有较强的语言表达能力、沟通协调能力、组织策划能力以及文案写作能力； ,6、具有敏锐的洞察力，较强的计划和执行能力； ,7、具有较强的责任感和事业心，能承受工作压力，具有较强的保密意识； ,8、具有良好的团队协作精神，为人诚实可靠、品行端正、具有亲和力，较强的独立工作能力和公关能力； ,9、熟练使用office办公软件及办公设备，应届生优先，能适应出差者优先考虑。 ",2017-03-24
"
                        销售助理 ,
                    ","
                            北京
                            
                        ","任职资格： ,1、30岁以下，男女不限； ,2、市场营销、计算机、国际贸易、工商管理等相关专业，本科或以上学历（接受实习生）； ,3、具备较强的工作责任心，出色的语言表达能力与沟通协调能力； ,4、具备独立处理复杂问题和突发事件的能力； ,5、具备一定的市场分析及判断能力，良好的客户服务意识； ,6、性格活泼开朗，反应敏捷，能承受较大的工作压力； ,7、熟练使用办公软件，了解保密产品、有IT及通信等行业经验者优先考虑。,工作内容： ,1、分解落实个人市场年度销售计划，制定分区域、分产品年度销售实施计划（包括销售目标、回款额）；按单向综合部下达备货通知单并负责跟单； ,2、负责个人年度市场开拓计划，做好开拓区域的商情调查及合作单位的评估、甄选、谈判和合同签订工作； ,3、负责用户单位和代理商的日常沟通、结帐收款、协助售前和售后服务工作； ,4、向综合部递交的各类备货单； ,5、向售前、售后和培训部递交的各类技术支持任务书； ,6、完成销售部总经理交办的其它工作。,工作条件：,1、工作时间：8:00-17:00（中午休息2小时），周六日双休,2、福利待遇：五险一金、餐补、交通补、话费补、旅游等",2017-03-24
"
                        市场专员 ,
                    ","
                            北京
                            
                        ","任职资格： ,1、本科及以上学历； ,2、具备较强的人际沟通、语言表达、组织协调及应变能力； ,3、具备敏锐的市场洞察能力，具有很强的谈判沟通技巧； ,4、思路灵活、学习和适应能力强，具有优秀的创新能力； ,5、会制图软件 有推广经验 做过市场调研者优先,工作内容： ,1、发掘市场需求,跟踪竞争对手动态，收集整理资料，建立资料信息库，编写分析报告供领导决策； ,2、负责公司及产品对外宣传的总体策划与实施； ,3、负责公司及产品宣传资料的设计、制作； ,4、负责公司网站内容维护。",2017-03-24
"
                        人力资源专员 ,
                    ","
                            北京
                            
                        ","岗位职责：,1、员工关系办理：负责员工劳动合同签订、变更与终止相关手续的办理；负责员工入职、转正、离职相关手续的办理；受理员工投诉、咨询，协助人力资源主管解决劳动争议及纠纷。,2、 人事档案管理：协助人力资源主管建立人事档案管理制度，负责员工信息档案的建立及维护；负责员工劳动合同、人事档案及人力资源部所有工作文件的收集、存档；负责人事档案借阅手续的办理。,3、考勤管理：负责员工考勤信息的统计；负责员工公出、请假管理与统计；为月度工资提供准确信息。,4、五险一金：负责五险一金月度缴纳人数核对及相应工作。,5、协助完成培训、招聘等其他人力资源模块工作。,6、本部门实行内部模块轮岗制，可全方位操作人力资源各模块。,任职资格： ,1、人力资源管理、行政管理、工商管理等相关专业，本科或以上学历； ,2、具有企业管理、人力资源管理、劳动法、经济法、心理学等专业知识，有工作经验者有限； ,3、接受过企业管理、人力资源管理技术、劳动法规等方面的培训； ,4、具有较强的组织协调能力、人际沟通能力、亲和力； ,5、熟悉国家相关法律法规、熟悉招聘流程、熟练运用各种招聘工具和方法； ,6、有人才引进、毕业生落户、工作居住证办理经验者优先考虑； ",2017-03-24
"
                        展示你艺术细胞时候到啦 ,
                    ","
                            成都
                            
                        ","企业急招，最低要求！面试通过率百分之九十以上！,名额有限，有意者请及时报名，马上安排面试，报满及止！,应聘条件：,1、专科及以上学历，条件优秀者可适当放宽至中专。,2、年龄18-33岁，不符合年龄条件者勿扰（非中介，非保险）,福利待遇：,1、根据公司发展需求针对零基础提供助理岗位，到公司都会有工程师带着做项目，态度一定要端正；,2、实习助理薪资：会根据你的考勤/态度/综合素质/以及做项目积极性/配合公司安排/（薪资均以能力来定，综合3000-5000元/月+双休+五险一金+餐补+交通补助）,3、福利待遇：转正后，5000-8000元/月，双休+早九晚六+五险一金+餐补+交通补助+生日福利+休闲活动+中午休息两个小时+国家规定节假日休息。,对此岗位有意者可直接投递简历。最快当天入职！名额有限！抓紧报名 ",2017-03-24
"
                        诚聘平面设计师/助理 ,
                    ","
                            成都
                            
                        ","岗位职责：,1、产品包装设计,2、新产品LOGO设计,3、公司宣传册、海报设计,4、愿意跟着公司前辈学习，脚踏实地，有团队合作精神,注：可接收应届生，专业不限 。,岗位要求:,1、 试用期一个月【培训项目：了解企业文化，掌握产品,一个月后转正。】,2、 学习使用Photoshop、Flash、CAD 等相关平面设计软件,3、无经者愿意从基层做起，公司带薪培训。,4、工作认真，有责任心，踏实肯干，富有团队精神；,5、具备良好的美术基础，良好的创意构思能力。,福利待遇：,根据公司发展需求针对零基础提供助理岗位//做项目有工程师带// 态度一定要端正；,实习助理薪资：会根据你的考勤/态度/综合素质/以及做项目积极性/配合公司安排/,综合收入加提成3000以上(转正4000)// 具体面议；（薪资均以能力来定）,3、福利待遇：早九晚六// 中午休息两个小时// 周末双休// 国家规定节假日休息//,公司全体有热水咖啡提供// 员工生日有礼物；,联系人：黄女士,联系电话：18190906778,联系QQ：2919772631,简历投递邮箱：2919772631@qq.com,本岗位欢迎理科相关应届毕业生 投递简历到邮箱优先考虑录用 ",2017-03-24
"
                        诚聘学习力强的小伙伴 ,
                    ","
                            成都
                            
                        ","岗位职责：,1、产品包装设计,2、新产品LOGO设计,3、公司宣传册、海报设计,4、愿意跟着公司前辈学习，脚踏实地，有团队合作精神,注：可接收应届生，专业不限 。,岗位要求:,1、 试用期一个月【培训项目：了解企业文化，掌握产品,一个月后转正。】,2、 学习使用Photoshop、Flash、CAD 等相关平面设计软件,3、无经者愿意从基层做起，公司带薪培训。,4、工作认真，有责任心，踏实肯干，富有团队精神；,5、具备良好的美术基础，良好的创意构思能力。,福利待遇：,根据公司发展需求针对零基础提供助理岗位//做项目有工程师带// 态度一定要端正；,实习助理薪资：会根据你的考勤/态度/综合素质/以及做项目积极性/配合公司安排/,综合收入加提成3000以上(转正4000)// 具体面议；（薪资均以能力来定）,3、福利待遇：早九晚六// 中午休息两个小时// 周末双休// 国家规定节假日休息//,公司全体有热水咖啡提供// 员工生日有礼物；,联系人：黄女士,联系电话：18190906778,联系QQ：2919772631,简历投递邮箱：2919772631@qq.com,本岗位欢迎理科相关应届毕业生 投递简历到邮箱优先考虑录用 ",2017-03-24
